MedInc,HouseAge,AveRooms,AveBedrms,Population,Latitude,Longitude,target
2.8182,12,5.404761905,1.062770563,1153,40.92,-124.09,1.269
2.7644,24,6.204166667,1.152083333,1370,40.55,-124.09,0.973
2.3947,38,5.536159601,1.06234414,1041,40.44,-124.09,0.705
1.1157,18,2.56374502,0.964143426,805,40.86,-124.08,1.5
1.1479,29,4.023529412,1.103529412,990,40.87,-124.08,1.011
1.6667,13,4.015923567,1.144904459,1381,40.91,-124.08,0.788
2.0156,29,5.25,1.219387755,509,41.36,-124.08,0.628
2.6847,18,5.704152249,1.14532872,1554,40.99,-124.08,1.113
2.3147,18,4.626865672,1.029850746,941,40.94,-124.08,0.701
2.625,17,8.09202454,1.63803681,393,40.06,-124.08,1.356
2.2138,47,5.3003003,0.978978979,796,40.87,-124.07,0.992
0.7684,31,2.569230769,1.030769231,780,40.87,-124.07,1.531
2.9911,23,5.434108527,1.062015504,1019,40.81,-124.07,1.197
3.2216,34,6.252615845,0,1891,40.86,-124.06,0.981
2.5667,12,4.764840183,0.96803653,1603,40.88,-124.06,1.395
2.4708,22,5.64532872,1.382352941,1384,41.13,-124.06,1.194
3.5156,31,6.019950125,1.067331671,1005,40.85,-124.05,1.43
5.0329,14,8.022099448,1.198895028,516,40.94,-124.05,1.656
3.4408,32,5.320113314,0.963172805,937,40.59,-124.05,0.952
2.6094,34,6.367088608,1.348101266,443,40.45,-124.03,0.713
3.9792,22,5.85520362,0.984162896,1198,40.8,-124.02,1.339
3.8095,28,5.87458194,1.060200669,1658,40.72,-124.02,1.199
3.538,21,5.026578073,1.059800664,943,40.97,-124.01,1.027
2.4559,28,4.681528662,1.070063694,811,40.89,-124.01,0.756
2.9485,29,5.372180451,0,672,40.92,-124,0.988
1.319,16,6.404907975,1.641104294,816,40.22,-124,0.707
2.6923,41,5.116071429,1.107142857,844,40.88,-123.98,0.842
2.3167,31,5.980645161,1.177419355,883,40.57,-123.96,0.926
2.0202,22,5.851703407,1.274549098,1382,41.54,-123.92,0.711
2.9688,22,5.987261146,1.146496815,743,41.68,-123.91,1.527
3.2891,28,5.781818182,1.177272727,519,40.93,-123.88,1.063
1.0486,31,5.974522293,1.515923567,425,41.32,-123.85,0.367
1.7574,11,4,1.12195122,895,39.42,-123.85,1.5
3.184,23,5.450408401,1.064177363,2095,39.39,-123.85,1.405
2.0962,28,6.413242009,1.381278539,1093,40.28,-123.84,0.74
1.5278,19,6.436123348,1.497797357,515,39.83,-123.84,1.458
2.5192,47,5.721393035,1.213930348,552,39.46,-123.84,1.104
3.13,18,5.829457364,1.38372093,660,41.88,-123.83,1.167
1.2227,19,5.039735099,1.399558499,1184,40.16,-123.82,0.768
2.087,33,6.141975309,1.216049383,1221,40.12,-123.82,0.824
3.1563,17,6.095384615,1.141538462,773,39.34,-123.81,2.77
3.3654,23,6.375,1.335648148,887,39.31,-123.81,2.25
2.7857,28,5.417391304,1.102173913,1202,39.47,-123.8,1.503
2.9243,35,5.745819398,1.153846154,698,39.46,-123.8,1.316
1.9213,52,4.508823529,0.988235294,754,39.44,-123.8,0.95
1.9208,33,4.796208531,1.087677725,1019,39.44,-123.8,0.936
2.325,24,5.186131387,1.062043796,588,39.5,-123.79,1.573
3.5,49,4.780793319,1.006263048,1201,39.44,-123.79,1.133
2.7813,36,4.65034965,0.954545455,761,39.44,-123.79,1.058
3.2171,16,4.871980676,1.02173913,1177,39.44,-123.79,1.162
2.1864,17,5.818443804,1.429394813,899,40.05,-123.78,1.019
2.0644,24,5.763285024,1.3647343,1058,41.03,-123.76,0.798
1.9625,35,5.104477612,1.186567164,900,40.11,-123.75,1.015
3.25,16,4.935483871,1.0609319,830,39.37,-123.75,1.514
3.0469,25,6.386666667,1.149333333,983,40.66,-123.74,1.36
1.7153,25,8.027888446,2.087649402,746,40.48,-123.73,0.771
2.7,32,5.563380282,1.063380282,380,39.44,-123.73,1.65
2.375,20,5.818639798,1.312342569,1745,39.17,-123.73,1.588
1.8208,19,5.426997245,1.187327824,1166,41.09,-123.72,0.5
1.4952,42,5.00990099,1.264026403,656,39.88,-123.71,0.698
3.1071,18,5.657534247,1.205479452,711,39.32,-123.7,2.132
2.1985,17,5.154205607,1.11682243,1140,38.9,-123.69,0.953
1.725,31,5.158774373,1.259052925,917,40.24,-123.68,0.543
1.8065,22,5.984848485,1.409090909,686,41.3,-123.66,0.627
3.0433,21,5.232087227,1.054517134,1908,39.45,-123.64,1.407
1.4911,19,5.495412844,1.174311927,1033,41.11,-123.63,0.592
3.1201,17,6.478206725,1.291407223,1742,38.8,-123.59,1.761
2.2429,15,5.539156627,1.472891566,887,39.66,-123.58,1
2.2946,18,6.100271003,1.382113821,1032,39.17,-123.54,1.01
2.5625,38,8.085308057,1.682464455,506,38.93,-123.53,1.656
2.2115,20,7.768115942,1.736231884,918,40.88,-123.53,0.75
2.1542,17,7.045045045,1.554054054,517,41.01,-123.52,0.838
2.1793,22,4.762331839,1.00896861,1122,39.67,-123.5,0.715
3.3125,9,16.5412844,3.116207951,594,38.7,-123.49,2.954
1.9107,15,5.951923077,1.538461538,287,40.79,-123.48,0.792
2.7083,19,6.475,1.35,216,40.34,-123.48,0.645
2.3571,18,6.156069364,1.575144509,863,39.8,-123.47,0.792
3.625,20,3.594594595,0.945945946,87,40.22,-123.43,0.675
1.965,23,6.058608059,1.351648352,669,41.6,-123.41,0.654
1.7875,17,6.103174603,1.626984127,301,40.61,-123.41,0.55
0.8362,17,8.471698113,2.849056604,141,40.07,-123.41,0.875
3.2156,10,5.390501319,1.096306069,2111,39.46,-123.4,1.044
3.4063,28,5.488372093,1.139534884,812,38.99,-123.39,1.094
2.6424,18,5.405479452,1.11369863,1899,39.37,-123.38,1.246
2.2976,25,4.976923077,1.223076923,1000,41.8,-123.38,0.544
3.588,32,5.803757829,0.981210856,1281,39.43,-123.37,0.96
2.9183,46,5.296969697,1.096969697,808,39.41,-123.36,0.769
1.5625,21,3.930909091,0.923636364,715,39.4,-123.36,0.715
2.5875,17,5.381188119,1.257425743,522,39.25,-123.36,1.445
2.7232,35,5.385416667,1.114583333,857,39.01,-123.36,1.154
2.1625,18,5.488135593,1.172881356,904,39.42,-123.35,0.772
1.85,27,4.039755352,1.033639144,779,39.4,-123.35,0.718
1.125,23,6.130434783,2.565217391,47,40.99,-123.35,0.66
1.8967,15,5.408775982,1.23556582,1064,39.5,-123.34,0.966
2.3333,18,4.58699187,1.021138211,1636,39.39,-123.34,0.84
3.0652,24,5.415322581,1.059475806,3002,39.1,-123.34,1.311
2.3906,22,5.186567164,1.074626866,1133,39.42,-123.32,0.926
0.4999,15,11.59649123,2.561403509,131,40.43,-123.32,0.567
1.625,25,6.338842975,1.702479339,301,40.77,-123.28,0.792
2.7222,25,5.528301887,1.254716981,1117,41.86,-123.26,0.646
3.3536,27,7.061776062,1.474903475,1278,38.54,-123.25,1.575
1.7788,25,5.540540541,1.173745174,746,39.81,-123.24,0.579
2.7171,38,8.295454545,1.767045455,569,38.7,-123.24,1.313
1.2281,25,5.50397878,1.153846154,991,39.77,-123.23,0.603
3.9632,20,5.742857143,0.864285714,448,39.33,-123.23,1.471
3.8958,33,5.419354839,0.97235023,529,39.13,-123.23,1.44
3.1455,16,5.118566176,1.016544118,3148,39.28,-123.22,1.429
3.3667,45,4.992592593,0.981481481,639,39.15,-123.22,1.152
3.6587,32,5.524038462,0.899038462,499,39.16,-123.22,1.546
3.5938,36,5.743842365,1.064039409,504,39.15,-123.22,1.221
2.631,29,5.148023549,1.027754415,3595,39.16,-123.22,1.096
1.9034,27,4.766666667,1.093939394,847,40.54,-123.22,0.496
2.8472,27,12.32,2.993333333,396,40.16,-123.22,0.413
2.2926,17,4.860896445,1.071097372,1560,39.2,-123.21,1.493
2.6275,17,4.746575342,0.98630137,1501,39.18,-123.21,1.421
3.7833,17,6.057692308,1.096153846,877,39.07,-123.21,1.598
2.55,52,6.00877193,1.131578947,617,39.15,-123.21,1.129
3,39,5.104316547,0.942446043,661,39.14,-123.21,1.146
4.0469,27,6.542735043,1.136752137,822,39.13,-123.21,1.274
1.6571,31,4.28913738,1.07827476,1367,39.15,-123.21,1.089
1.9032,15,4.331395349,1.05620155,1376,39.14,-123.21,1
1.375,16,3.950819672,1.37704918,152,40.51,-123.21,0.488
2.3583,26,4.881987578,1.043478261,494,39.23,-123.2,1.054
1.7929,14,4.085653105,1.03640257,1195,39.16,-123.2,0.823
2.0074,27,4.4,1.057777778,592,39.15,-123.2,0.962
1.8042,17,4.060150376,0.992481203,878,39.14,-123.2,1.092
1.375,26,3.675810474,1.039900249,1065,39.13,-123.2,0.844
3.5917,22,5.410526316,1.021052632,821,39.21,-123.19,1.188
2.6012,16,5.280737705,1.014344262,1232,39.15,-123.19,1.256
2.3125,38,4.45,0.95,196,39.12,-123.19,0.7
3.788,25,5.730841121,1.065420561,1558,39.26,-123.18,1.342
2.125,18,4.5,1.018518519,115,39.23,-123.18,1.75
1.7262,18,5.712598425,1.094488189,695,40.58,-123.18,0.737
5.9585,14,7.272727273,1.061688312,1030,39.18,-123.17,2.149
4.425,30,5.858461538,1.018461538,816,39.15,-123.17,1.619
0.536,36,12.25,3.5,18,40.31,-123.17,0.14999
1.7813,33,4.356435644,1,1048,39.13,-123.16,0.947
2.775,31,5.160493827,1.012345679,327,39.1,-123.16,1.208
2.9306,23,5.62962963,1.324074074,281,39.74,-123.15,0.7
2.8833,19,6.75,1.348684211,424,39.31,-123.15,1.542
2.7171,22,6.041899441,1.217877095,1048,38.94,-123.15,0.958
1.8933,18,5.85106383,1.336879433,675,40.85,-123.13,0.847
1.8696,23,5.427860697,1.07960199,539,40.54,-123.12,0.615
3.3431,20,6.38372093,1.172093023,1421,39.32,-123.11,1.375
1.1602,23,5.205882353,1.485294118,316,40.6,-123.11,0.65
1.746,19,4.672566372,1.097345133,611,39.36,-123.1,1.05
3.8333,32,6.079787234,1.106382979,454,39.15,-123.1,1.161
2.5761,36,4.824701195,0.984063745,697,38.97,-123.1,0.949
2.8344,20,4.873040752,1.115987461,1643,38.79,-123.1,1.644
1.6757,34,6.54009434,1.601415094,1066,41.26,-123.08,0.633
3.9167,28,8.839142091,1.81233244,923,38.38,-123.08,2.326
1.7969,10,7.448979592,2.081632653,140,40.4,-123.08,0.375
3.8333,24,7.572413793,1.331034483,353,39.12,-123.07,0.926
2.3611,31,6.151079137,1.561151079,280,38.46,-123.07,1.125
2.6161,30,6.833333333,1.597938144,1387,38.49,-123.04,1.325
3.375,16,6.013372957,1.142644874,1998,38.79,-123.03,1.719
2.0556,52,8.316602317,1.926640927,524,38.46,-123.02,1.2
3.2315,35,6.698757764,1.51242236,768,38.54,-123.02,1.369
3.025,35,4.446511628,0.990697674,488,38.81,-123.02,1.406
3.2425,45,4.678474114,1.059945504,916,38.81,-123.02,1.388
3.8589,16,5.267605634,1.049295775,778,38.36,-123.02,2.688
1.3712,37,6.698863636,1.602272727,354,38.48,-123.01,1.183
4.6875,33,6.924242424,1.113636364,394,38.67,-123.01,2.462
3.5156,21,4.864864865,1.297297297,131,38.8,-123.01,1.333
3.2546,32,5.041121495,0.988785047,1417,38.79,-123.01,1.341
2.6726,33,5.032154341,1.254019293,759,38.51,-123,1.531
5.6445,8,7.710526316,1.523923445,851,38.33,-123,3.648
3.45,14,5.794871795,1.102564103,851,39.02,-122.99,1.641
3.1,29,7.542372881,1.591525424,1328,38.44,-122.98,1.621
1.9265,44,6.880851064,1.587234043,1112,38.5,-122.97,1.327
2.1165,48,6.898423818,1.506129597,1257,38.53,-122.97,0.987
3.1429,20,15.01515152,2.712121212,308,38.26,-122.96,2.409
2.9375,50,7.008310249,1.451523546,940,38.42,-122.96,1.229
3.2891,29,6.062962963,1.1,753,40.77,-122.96,0.931
3.25,17,5.277777778,0.958333333,225,39.13,-122.95,1.375
2.9792,37,5.393728223,1.142857143,863,38.73,-122.95,1.513
2.0268,17,6.190082645,1.367768595,574,40.67,-122.95,0.942
2.4792,26,6.129120879,1.156593407,987,40.71,-122.95,0.888
2.8906,18,6.485714286,1.142857143,272,39.1,-122.94,1.406
3.7143,49,6.201086957,1.298913043,505,38.53,-122.94,1.488
2.6316,46,6.229508197,1.344262295,807,38.5,-122.94,1.17
2.7072,37,9.212209302,2.090116279,777,38.49,-122.94,1.171
5.1005,33,6.12,1.064,728,38.57,-122.94,2.667
4.0781,26,6.367924528,1.119496855,2072,38.64,-122.94,2.878
3.5469,28,5.863013699,1.210045662,628,38.02,-122.93,2
2.723,20,6.496969697,1.195454545,1800,41.48,-122.93,0.796
3.9336,18,6.188405797,1.207729469,1128,38.38,-122.93,2.625
2.3667,20,4.964332893,1.054161162,1685,40.78,-122.93,0.912
4,24,5.98245614,1.122807018,146,39.08,-122.92,1.663
3.5652,16,6.192,1.18,605,39.05,-122.92,1.19
2.5457,38,5.512323944,1.098591549,1591,39.05,-122.92,0.807
2.9934,20,6.207207207,1.153153153,904,38.97,-122.92,1.342
2.3571,23,6.489499192,1.279483037,1634,41.7,-122.92,0.62
2.0208,43,3.296296296,0.666666667,86,39.18,-122.91,0.725
4.35,44,5.179487179,1.076923077,142,39.17,-122.91,0.683
2.4423,21,5.779527559,1.270341207,1000,39.07,-122.91,1.023
1.939,21,4.735632184,0.911877395,601,39.06,-122.91,1.003
3.2216,20,5.371428571,1.09047619,621,39.05,-122.91,0.935
3.7667,27,7.305555556,1.925925926,295,39.05,-122.91,0.95
1.3532,14,5.55971897,1.304449649,723,39.03,-122.91,0.958
4.6705,19,6.38961039,1.136363636,852,38.43,-122.91,2.698
3.6343,37,5.208860759,1.094936709,1137,38.49,-122.91,1.465
4.5,18,6.142857143,0,912,38.46,-122.91,2.519
3.9519,39,7.234636872,1.340782123,534,39.23,-122.9,0.989
2.575,45,5.663793103,1.193965517,649,39.17,-122.9,0.736
1.9141,15,6.534210526,1.431578947,835,39.09,-122.9,1.432
2.3482,52,6.891891892,1.178378378,627,38.28,-122.9,1.635
1.7292,31,5.298755187,1.091286307,600,41.46,-122.9,0.617
0.4999,16,21.63157895,6,26,39.42,-122.89,0.735
2.2551,10,6.251968504,1.311023622,585,39.11,-122.89,0.711
2.7188,20,5.443946188,1.107623318,504,38.93,-122.89,1.057
5.7664,16,6.00297619,1.098214286,931,38.38,-122.89,2.675
5.1512,28,6.267716535,1.146981627,1015,38.42,-122.89,2.683
4.511,22,5.631067961,1.044660194,1445,38.4,-122.89,2.968
2.3958,14,7.911111111,1.455555556,270,40.76,-122.89,1.021
2.2188,20,5.739795918,1.178571429,521,39.14,-122.88,1.063
5.0574,20,5.818803419,1.073504274,1641,38.34,-122.88,2.762
2.5687,25,5.124590164,1.029508197,737,38.46,-122.88,2.492
1.6369,15,6.003115265,1.330218069,810,39.13,-122.87,0.865
4.5147,34,6.322222222,1.138888889,541,38.39,-122.87,2.714
4.0446,36,5.726224784,1.115273775,1065,38.43,-122.87,1.722
3.5085,27,5.446153846,1.085314685,1832,38.48,-122.87,1.878
3.7361,23,5.352,1.042,1456,38.61,-122.87,1.737
2.1903,52,4.276836158,0.983050847,767,38.62,-122.87,1.6
3.1875,18,5.048237477,1.033395176,1667,38.62,-122.87,1.761
3.7352,32,6.475357711,1.141494436,2053,38.68,-122.87,2.28
2.0417,24,6.979910714,1.504464286,1015,39.08,-122.86,0.788
2.5326,20,6.292490119,1.292490119,647,39.05,-122.86,1.368
4.3125,44,7.586005831,1.483965015,691,38.1,-122.86,2.615
3.6667,38,5.182222222,0.991111111,584,38.42,-122.86,2.444
3.4471,31,5.326388889,1.013888889,716,38.44,-122.86,2.095
3.4013,52,4.613157895,1,982,38.61,-122.86,1.833
2.7432,35,5.204408818,1.046092184,1231,38.62,-122.86,1.74
1.7393,12,7.848837209,1.744186047,423,40.56,-122.86,0.813
1.8704,20,6.26984127,1.261904762,753,39,-122.85,0.885
4.4437,16,5.932659933,0.986531987,810,38.37,-122.85,3.05
4.7105,22,6.5,1.07421875,1309,38.46,-122.85,2.662
3.6583,13,6.309711286,1.112860892,2568,38.52,-122.85,1.832
4.5913,16,6.338593974,1.010043042,1908,38.62,-122.85,2.446
4.6953,18,7.051851852,1.266666667,1027,38.77,-122.85,2.417
1.7196,21,5.275280899,0.988764045,556,38.98,-122.84,0.75
3.8269,31,6.255892256,1.235690236,701,38.07,-122.84,2.707
2.9625,29,5.190207156,1.037664783,1381,38.42,-122.84,2.373
4.125,19,5.423267327,0.967821782,1065,38.41,-122.84,2.046
3.6696,15,5.141903172,1.030050083,1446,38.4,-122.84,1.944
4.4357,16,6.028571429,1.042857143,793,38.39,-122.84,2.169
1.4679,26,5.905660377,1.334231806,679,39.09,-122.83,0.947
1.6833,15,5.351851852,0.907407407,191,38.99,-122.83,1.139
1.6164,17,4.672297297,1.172297297,719,38.98,-122.83,0.778
1.8692,15,4.775362319,1.072463768,567,38.96,-122.83,0.938
3.4514,11,7.111111111,1.488888889,268,38.89,-122.83,1
3.1217,37,5.179906542,1.053738318,1019,38.4,-122.83,1.785
2.462,19,4.548969072,1.015463918,868,38.39,-122.83,2.603
3.2452,17,5.841573034,1.149438202,2036,38.58,-122.83,1.688
4.6792,23,6.382716049,0.971193416,555,38.44,-122.82,3.047
2.785,32,4.172619048,1.083333333,489,38.41,-122.82,1.693
3.8846,40,5.647887324,0.992957746,1054,38.4,-122.82,2.159
3.625,22,5.854545455,1.104545455,593,38.39,-122.82,2.337
4.7422,32,5.865306122,1.048979592,752,38.39,-122.82,2.409
4.5132,27,5.492505353,1.025695931,1227,38.38,-122.82,2.599
3.9917,25,5.576363636,1.034545455,1602,38.33,-122.82,2.441
3.8616,8,6.19,1.088,2967,38.55,-122.82,1.951
3.276,27,5.750788644,1.135646688,907,38.53,-122.82,1.729
3.8681,29,5.818181818,1.029411765,1117,38.64,-122.82,1.886
4.0294,41,7.472527473,1.376373626,987,38.61,-122.82,2.017
3.4609,19,4.792284866,1.086053412,815,38.08,-122.81,2.388
4.745,28,6.313932981,1.077601411,1634,38.46,-122.81,2.486
5.2769,18,6.135549872,0.99488491,1131,38.36,-122.81,2.939
1.1553,12,4.238888889,1.131481481,919,38.54,-122.81,1.393
2.7083,16,10.51282051,2.415384615,588,40.93,-122.81,0.889
1.4676,17,5.497076023,1.365497076,798,39.08,-122.8,0.65
3.625,36,6.569060773,1.314917127,957,38.18,-122.8,2.531
4.1731,26,5.154574132,0.993690852,909,38.37,-122.8,2.572
2.9453,26,5.411904762,1.128571429,1124,38.39,-122.8,1.667
1.625,20,5.432024169,1.193353474,685,39.09,-122.79,0.668
1.5208,23,7.4375,1.5625,321,39.08,-122.79,0.89
1.8833,23,7.642857143,2.416666667,265,39.02,-122.79,0.969
3.75,18,5.753864447,1.091557669,2755,38.5,-122.79,2.483
3.1662,7,4.866192171,0,3468,38.48,-122.79,1.91
5.038,9,5.428415301,0.967213115,2581,38.42,-122.79,1.856
3.7768,5,5.802037846,1.072780204,1887,38.54,-122.79,2.138
2.125,17,6.876785714,1.460714286,1352,40.75,-122.79,0.717
2.6181,15,5.951672862,1.200743494,661,39.05,-122.78,1.089
3.0466,11,6.534090909,1.226010101,2144,38.97,-122.78,0.973
2.4922,23,4.764705882,1.041745731,1052,38.52,-122.78,1.92
3.9766,14,6.586645469,1.042925278,1569,38.44,-122.78,3.453
2.5917,43,4.548821549,0.932659933,1011,38.41,-122.78,1.44
3.7991,21,4.907407407,1.00617284,414,38.37,-122.78,1.75
4.2716,9,5.789556962,1.03164557,1889,38.53,-122.78,2.508
4.0119,26,7.12,1.4,293,38.92,-122.77,1.194
3.2442,32,6.167630058,1.044315992,1869,38.29,-122.77,2.68
2.75,35,5.639308855,1.025917927,1293,38.39,-122.77,1.975
4.5875,32,6.712418301,1.058823529,843,38.33,-122.77,2.907
2.125,22,6.856687898,1.468152866,903,40.4,-122.76,1.232
3.055,6,5.528,1.034666667,826,38.52,-122.76,2.241
4.5152,14,6.478142077,1.032786885,2149,38.46,-122.76,1.992
4.2061,14,6.2421875,0.998697917,2252,38.46,-122.76,2.131
3.6292,8,5.593659942,1.060518732,2864,38.45,-122.76,1.836
4.7283,11,5.421348315,0.981273408,1633,38.44,-122.76,1.702
3.8244,14,5.865951743,1.068364611,1809,38.44,-122.76,1.8
5.0323,30,6.295264624,1.04178273,958,38.35,-122.76,2.224
3.4187,17,10.0531401,2.335748792,889,39.01,-122.75,2.005
5.4886,6,6.739217653,1.019057172,2699,38.54,-122.75,2.542
5.449,16,6.822764228,1.037398374,1713,38.5,-122.75,2.521
4.5417,4,5.735632184,0.983200707,2958,38.48,-122.75,1.974
3.0147,13,5.938186813,1.401098901,2566,38.46,-122.75,1.428
2.6384,16,4.527303754,1.034129693,1693,38.46,-122.75,1.469
2.6667,36,5.092356688,1.098726115,1086,38.43,-122.75,1.491
3.9688,17,5.163934426,0.963934426,1857,38.41,-122.75,1.65
1.6607,16,6.710526316,1.921052632,85,39.71,-122.74,0.14999
3.3531,12,8.551136364,1.721590909,1554,38.83,-122.74,0.908
3.0714,16,5.484615385,1.103846154,525,38.47,-122.74,1.617
2.6607,9,3.876923077,1.015384615,1311,38.46,-122.74,0.915
